speaker,island,word,intensity
MM,Mauke,rave,75.19061229
MM,Mauke,rave,74.00433678
MM,Mauke,rave,68.30422363
MM,Mauke,rave,75.13750064
MM,Mauke,rave,67.95964202
MM,Mauke,rave,65.29190177
MM,Mauke,rave,70.00746303
MM,Mauke,rave,73.70354608
MM,Mauke,rave,77.75019678
MSC,Mauke,rave,54.49650738
MSC,Mauke,raveꞌanga,51.034406
JA,Mauke,raveꞌia,68.53841341
JA,Mauke,raveꞌia,62.23447446
JA,Mauke,raveꞌia,66.94269864
JA,Mauke,raveꞌia,65.3833739
JA,Mauke,raveꞌia,66.94056584
JA,Mauke,raveꞌia,66.52777745
JA,Mauke,raveꞌia,71.39655362
JA,Mauke,raveꞌia,66.79227161
JE,Mauke,raveꞌia,60.60605482
MM,Mauke,raveꞌia,71.90801075
MM,Mauke,raveꞌia,74.69929934
JA,Mauke,reva,69.01074226
MSC,Mauke,reva,46.32242281
JE,Mauke,ruatakiva,55.69753962
MSC,Mauke,tuaꞌivi,47.43737789
JE,Mauke,tuāꞌivi,53.8846102
JE,Mauke,tuāꞌivi,55.63070695
JE,Mauke,tuāꞌivi,50.26553315
JA,Mauke,tāreva,81.36608599
MM,Mauke,tāviri,66.53482171
JA,Mauke,tāviriviri,76.396285
JA,Mauke,tāviriviri,69.00580188
JA,Mauke,tīvaivai,64.55988531
JA,Mauke,tīvaivai,50.76318348
JA,Mauke,tīvī,73.95688632
JA,Mauke,tīvī,73.3514347
JE,Mauke,tūava,43.80854883
JE,Mauke,tūava,43.80854883
JE,Mauke,tūava,57.32972469
JE,Mauke,tūava,57.32972469
JA,Mauke,vaere,55.41596595
JA,Mauke,vaerua,57.58499052
JA,Mauke,vaerua,61.87538976
MSC,Mauke,vaerua,49.81329496
JA,Mauke,vai,69.73564094
JA,Mauke,vai,67.89555639
JA,Mauke,vai,63.32646416
JA,Mauke,vai,51.87535796
JA,Mauke,vai,49.664594
JA,Mauke,vai,50.56497719
JA,Mauke,vai,41.24224135
JA,Mauke,vai,46.4934347
JA,Mauke,vai,48.08820808
JA,Mauke,vai,48.04348545
JE,Mauke,vai,49.98361971
JE,Mauke,vai,49.98361971
JE,Mauke,vai,52.71033444
JE,Mauke,vai,51.32555961
JE,Mauke,vai,53.50777266
JE,Mauke,vai,50.4074577
JE,Mauke,vai,57.52693785
JE,Mauke,vai,50.1872062
JE,Mauke,vai,52.51034474
JE,Mauke,vai,56.06337557
MM,Mauke,vai,79.24730083
MM,Mauke,vai,79.71916307
MM,Mauke,vai,72.0053775
MM,Mauke,vai,72.16482648
MM,Mauke,vai,72.2015314
MM,Mauke,vai,75.60944051
MSC,Mauke,vai,56.72110463
MSC,Mauke,vai,54.851856
MSC,Mauke,vai,60.26999698
MSC,Mauke,vai,39.50285599
MSC,Mauke,vai,59.12399461
MSC,Mauke,vaikinga,49.25964737
MSC,Mauke,vaikinga,51.74229712
JE,Mauke,vairanga,54.63378936
JE,Mauke,vairanga,54.63378936
JE,Mauke,vairanga,51.31227839
MSC,Mauke,vairanga,53.33069063
MSC,Mauke,vairanga,45.71702717
JA,Mauke,vairākau,61.94583175
JA,Mauke,vairākau,50.12309287
JA,Mauke,vaitata,65.95914812
MM,Mauke,vaitata,76.44401629
MM,Mauke,vaitata,62.70171121
MM,Mauke,vaitata,73.97923316
MSC,Mauke,vaitata,57.00512945
MSC,Mauke,vaitata,56.46562937
MSC,Mauke,vaitata,49.93834361
JA,Mauke,vaito,70.4001664
JA,Mauke,vaivai,62.2302894
JA,Mauke,vaivai,64.54481035
JA,Mauke,vaiꞌi,59.04318948
MM,Mauke,vaiꞌo,77.0837078
MSC,Mauke,vaiꞌī,38.65059396
MSC,Mauke,vaiꞌī,47.19125374
